import time: self [us] | cumulative | imported package
import time:       150 |        150 |   _io
import time:        33 |         33 |   marshal
import time:       230 |        230 |   posix
import time:       473 |        885 | _frozen_importlib_external
import time:        76 |         76 |   time
import time:       181 |        256 | zipimport
import time:        38 |         38 |     _codecs
import time:       398 |        436 |   codecs
import time:       294 |        294 |   encodings.aliases
import time:       487 |       1216 | encodings
import time:       145 |        145 | encodings.utf_8
import time:        82 |         82 | _signal
import time:        28 |         28 |       _abc
import time:       123 |        150 |     abc
import time:        45 |         45 |       _stat
import time:        87 |        131 |     stat
import time:       682 |        682 |     _collections_abc
import time:        49 |         49 |       errno
import time:        82 |         82 |       genericpath
import time:       121 |        251 |     posixpath
import time:       407 |       1619 |   os
import time:        80 |         80 |   _sitebuiltins
import time:       156 |        156 |   encodings.utf_8_sig
import time:       378 |        378 |   abrt_exception_handler3
import time:       245 |        245 |   _distutils_hack
import time:        73 |         73 |   sitecustomize
import time:        59 |         59 |   usercustomize
import time:       786 |       3393 | site
import time:       183 |        183 |     io
import time:       124 |        124 |           itertools
import time:       139 |        139 |           keyword
import time:        84 |         84 |             _operator
import time:       295 |        379 |           operator
import time:       166 |        166 |           reprlib
import time:        74 |         74 |           _collections
import time:       722 |       1602 |         collections
import time:        28 |       1629 |       collections.abc
import time:       146 |        146 |       linecache
import time:        55 |         55 |               _types
import time:       360 |        415 |             types
import time:      1311 |       1725 |           enum
import time:        58 |         58 |             _sre
import time:       223 |        223 |               re._constants
import time:       315 |        537 |             re._parser
import time:       104 |        104 |             re._casefix
import time:       314 |       1012 |           re._compiler
import time:        55 |         55 |             _functools
import time:       663 |        718 |           functools
import time:       138 |        138 |           copyreg
import time:       472 |       4063 |         re
import time:       664 |       4726 |       textwrap
import time:        33 |         33 |           _contextvars
import time:       316 |        348 |         _py_warnings
import time:       150 |        497 |       warnings
import time:       121 |        121 |         __future__
import time:       162 |        282 |       codeop
import time:       150 |        150 |         token
import time:        31 |         31 |         _tokenize
import time:       685 |        864 |       tokenize
import time:       218 |        218 |               _weakrefset
import time:       407 |        625 |             weakref
import time:       163 |        787 |           copy
import time:       812 |        812 |                 _ast
import time:       328 |       1140 |               ast
import time:      1202 |       2341 |             annotationlib
import time:        33 |         33 |                 _opcode
import time:       165 |        165 |                 _opcode_metadata
import time:       290 |        487 |               opcode
import time:      1122 |       1608 |             dis
import time:       145 |        145 |               importlib
import time:        71 |        216 |             importlib.machinery
import time:      1824 |       5989 |           inspect
import time:       528 |       7303 |         dataclasses
import time:      4074 |      11377 |       _colorize
import time:       507 |        507 |       contextlib
import time:       737 |      20761 |     traceback
import time:       205 |        205 |     unittest.util
import time:       321 |      21469 |   unittest.result
import time:       165 |        165 |         _heapq
import time:       181 |        346 |       heapq
import time:       477 |        822 |     difflib
import time:       274 |        274 |     pprint
import time:       666 |       1762 |   unittest.case
import time:       232 |        232 |   unittest.suite
import time:       274 |        274 |     fnmatch
import time:       585 |        859 |   unittest.loader
import time:       282 |        282 |       gettext
import time:       936 |       1218 |     argparse
import time:       476 |        476 |         signal
import time:       148 |        624 |       unittest.signals
import time:       285 |        909 |     unittest.runner
import time:       268 |       2394 |   unittest.main
import time:       305 |      27018 | unittest
import time:        84 |         84 | pandas
import time:       137 |        137 | systemd
import time:        44 |         44 |     _datetime
import time:       112 |        156 |   datetime
import time:       253 |        253 |     _uuid
import time:       391 |        643 |   uuid
import time:        34 |         34 |       _string
import time:       246 |        280 |     string
import time:       566 |        566 |     threading
import time:        55 |         55 |     atexit
import time:      1917 |       2816 |   logging
import time:       200 |        200 |   syslog
import time:       574 |        574 |   systemd._journal
import time:       254 |        254 |   systemd._reader
import time:       316 |        316 |   systemd.id128
import time:       467 |       5421 | systemd.journal
import time:      1598 |       1598 |     _hashlib
import time:       176 |        176 |     _blake2
import time:       240 |       2014 |   hashlib
import time:      6471 |       6471 |       report._py3report
import time:       202 |        202 |       report.io
import time:       183 |        183 |       report.io.TextIO
import time:       100 |        100 |       report.io.GTKIO
import time:        89 |         89 |       report.io.NewtIO
import time:       342 |       7386 |     report
import time:        80 |         80 |     problem.config
import time:       336 |       7800 |   problem.proxies
import time:       138 |        138 |   problem.exception
import time:       104 |        104 |   problem.tools
import time:       187 |        187 |       dbus._compat
import time:       261 |        261 |       dbus.exceptions
import time:       661 |        661 |         _dbus_bindings
import time:       168 |        828 |       dbus.types
import time:       138 |        138 |             dbus.lowlevel
import time:       113 |        113 |                     xml
import time:       150 |        262 |                   xml.parsers
import time:       387 |        387 |                   pyexpat
import time:       140 |        787 |                 xml.parsers.expat
import time:       133 |        920 |               dbus._expat_introspect_parser
import time:       288 |       1207 |             dbus.proxies
import time:       348 |       1691 |           dbus.connection
import time:       273 |       1964 |         dbus.bus
import time:       572 |       2536 |       dbus._dbus
import time:       292 |       4102 |     dbus
import time:       149 |       4250 |   problem.watch
import time:        87 |         87 |   _pyabrt
import time:        67 |         67 |   _py3abrt
import time:       337 |        337 |   problem._py3abrt
import time:      1039 |      15831 | problem
Traceback (most recent call last):
  File "/home/asanchez/TRADER_OPS/v9e_stage/tests/test_phase_9e_hardening.py", line 3, in <module>
    import pandas as pd
ModuleNotFoundError: No module named 'pandas'
