import time: self [us] | cumulative | imported package
import time:       160 |        160 |   _io
import time:        32 |         32 |   marshal
import time:       279 |        279 |   posix
import time:       595 |       1064 | _frozen_importlib_external
import time:       102 |        102 |   time
import time:       265 |        367 | zipimport
import time:        56 |         56 |     _codecs
import time:       577 |        632 |   codecs
import time:       361 |        361 |   encodings.aliases
import time:       574 |       1566 | encodings
import time:       155 |        155 | encodings.utf_8
import time:        90 |         90 | _signal
import time:        32 |         32 |       _abc
import time:       137 |        168 |     abc
import time:        36 |         36 |       _stat
import time:        98 |        133 |     stat
import time:       806 |        806 |     _collections_abc
import time:        52 |         52 |       errno
import time:        92 |         92 |       genericpath
import time:       151 |        293 |     posixpath
import time:       596 |       1995 |   os
import time:        93 |         93 |   _sitebuiltins
import time:       195 |        195 |   encodings.utf_8_sig
import time:       154 |        154 |     __future__
import time:       140 |        140 |       importlib
import time:        88 |        227 |     importlib.machinery
import time:        33 |         33 |         _contextvars
import time:       362 |        394 |       _py_warnings
import time:       144 |        537 |     warnings
import time:       165 |        165 |       importlib._abc
import time:        48 |         48 |         _types
import time:       330 |        377 |       types
import time:       173 |        714 |     importlib.util
import time:       109 |        109 |     itertools
import time:       217 |        217 |       io
import time:        62 |         62 |         _winapi
import time:        65 |         65 |         nt
import time:        60 |         60 |         nt
import time:        52 |         52 |         nt
import time:        59 |         59 |         nt
import time:        57 |         57 |         nt
import time:        58 |         58 |         nt
import time:        58 |         58 |         nt
import time:       320 |        787 |       ntpath
import time:        69 |         69 |         _operator
import time:       278 |        346 |       operator
import time:       109 |        109 |             keyword
import time:       179 |        179 |             reprlib
import time:        76 |         76 |             _collections
import time:       730 |       1093 |           collections
import time:        50 |         50 |             _functools
import time:       657 |        707 |           functools
import time:       482 |       2280 |         contextlib
import time:      1120 |       1120 |           enum
import time:       208 |        208 |             _sre
import time:       225 |        225 |               re._constants
import time:       310 |        534 |             re._parser
import time:       109 |        109 |             re._casefix
import time:       360 |       1210 |           re._compiler
import time:       137 |        137 |           copyreg
import time:       546 |       3011 |         re
import time:       233 |        233 |         fnmatch
import time:       433 |       5955 |       glob
import time:        60 |         60 |       pwd
import time:       178 |        178 |       grp
import time:       166 |        166 |         fcntl
import time:        79 |         79 |         _winapi
import time:       411 |        654 |       pathlib._os
import time:       749 |       8943 |     pathlib
import time:       471 |      11152 |   __editable___antigravity_harness_4_7_16_finder
import time:       143 |        143 |   sitecustomize
import time:      1218 |      14794 | site
import time:       182 |        182 | linecache
import time:       121 |        121 |   antigravity_harness
import time:        57 |         57 |     _typing
import time:      3957 |       4014 |   typing
import time:       200 |        200 |     numpy.version
import time:       133 |        133 |     numpy._expired_attrs_2_0
import time:       141 |        141 |         numpy._utils._convertions
import time:       148 |        288 |       numpy._utils
import time:       280 |        568 |     numpy._globals
import time:        35 |         35 |       numpy._distributor_init_local
import time:       126 |        160 |     numpy._distributor_init
import time:        90 |         90 |                 _datetime
import time:      4642 |       4732 |               datetime
import time:       308 |        308 |               math
import time:       320 |        320 |               numpy.exceptions
import time:       347 |        347 |               numpy._core._exceptions
import time:       150 |        150 |                 contextvars
import time:       156 |        306 |               numpy._core.printoptions
import time:      7995 |       7995 |               numpy.dtypes
import time:      7176 |      21181 |             numpy._core._multiarray_umath
import time:      1425 |       1425 |                     _ast
import time:       670 |       2095 |                   ast
import time:       884 |       2979 |                 annotationlib
import time:        47 |         47 |                     _opcode
import time:       256 |        256 |                     _opcode_metadata
import time:       609 |        911 |                   opcode
import time:      1251 |       2161 |                 dis
import time:       183 |        183 |                   token
import time:        44 |         44 |                   _tokenize
import time:      1222 |       1448 |                 tokenize
import time:       227 |        227 |                   _weakrefset
import time:       596 |        823 |                 weakref
import time:      3064 |      10473 |               inspect
import time:       243 |        243 |               numpy._utils._inspect
import time:       660 |      11374 |             numpy._core.overrides
import time:      1896 |      34450 |           numpy._core.multiarray
import time:       303 |        303 |           numpy._core.umath
import time:       405 |        405 |             numbers
import time:       227 |        227 |             numpy._core._dtype
import time:       137 |        137 |             numpy._core._string_helpers
import time:       361 |        361 |             numpy._core._type_aliases
import time:       643 |       1771 |           numpy._core.numerictypes
import time:       299 |        299 |                         _struct
import time:       355 |        653 |                       struct
import time:       300 |        300 |                       _compat_pickle
import time:       317 |        317 |                       _pickle
import time:      1403 |       2672 |                     pickle
import time:       367 |       3038 |                   numpy._core._methods
import time:      1031 |       4069 |                 numpy._core.fromnumeric
import time:       536 |       4604 |               numpy._core.shape_base
import time:       236 |        236 |               numpy._core._ufunc_config
import time:       195 |        195 |               numpy._core._asarray
import time:       727 |        727 |               numpy._core.arrayprint
import time:      1371 |       7131 |             numpy._core.numeric
import time:       546 |       7677 |           numpy._core.einsumfunc
import time:       312 |        312 |           numpy._core.function_base
import time:       299 |        299 |           numpy._core.getlimits
import time:       405 |        405 |           numpy._core.memmap
import time:       389 |        389 |           numpy._core.records
import time:       893 |        893 |             textwrap
import time:      4569 |       5461 |           numpy._core._add_newdocs
import time:      1276 |       1276 |           numpy._core._add_newdocs_scalars
import time:       200 |        200 |           numpy._core._dtype_ctypes
import time:       701 |        701 |                 threading
import time:       644 |       1345 |               sysconfig
import time:       830 |        830 |               _ctypes
import time:       327 |        327 |               ctypes._endian
import time:      1906 |       4407 |             ctypes
import time:      1158 |       5565 |           numpy._core._internal
import time:       195 |        195 |           numpy._pytesttester
import time:      2184 |      60481 |         numpy._core
import time:       129 |      60609 |       numpy._core._multiarray_umath
import time:       431 |      61040 |     numpy.__config__
import time:       237 |        237 |                       numpy._typing._nbit_base
import time:       384 |        384 |                       numpy._typing._nested_sequence
import time:       140 |        140 |                       numpy._typing._shape
import time:      4276 |       5036 |                     numpy._typing._array_like
import time:      1841 |       1841 |                     numpy._typing._char_codes
import time:      1850 |       1850 |                     numpy._typing._dtype_like
import time:       170 |        170 |                     numpy._typing._nbit
import time:       175 |        175 |                     numpy._typing._scalars
import time:       137 |        137 |                     numpy._typing._ufunc
import time:      1083 |      10288 |                   numpy._typing
